fighter_name,fighter_url
Donte Johnson,http://ufcstats.com/fighter-details/ad5cb64af10fc946
Sedriques Dumas,http://ufcstats.com/fighter-details/4e6738062d469256
Ketlen Vieira,http://ufcstats.com/fighter-details/b9706f80d005036c
Norma Dumont,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9
Alice Ardelean,http://ufcstats.com/fighter-details/87f8699fdcc2c404
Montserrat Conejo Ruiz,http://ufcstats.com/fighter-details/1235b31de15d0c6e
Phil Rowe,http://ufcstats.com/fighter-details/8e382b585a92affe
Seokhyeon Ko,http://ufcstats.com/fighter-details/4a07b1988477502c
Talita Alencar,http://ufcstats.com/fighter-details/d35298b6df168456
Ariane Carnelossi,http://ufcstats.com/fighter-details/c0d5c0c95c59050b
Tom Aspinall,http://ufcstats.com/fighter-details/399afbabc02376b5
Ciryl Gane,http://ufcstats.com/fighter-details/787bb1f087ccff8a
Virna Jandiroba,http://ufcstats.com/fighter-details/7dda2cf308f24a02
Mackenzie Dern,http://ufcstats.com/fighter-details/7447e9f28508106a
Umar Nurmagomedov,http://ufcstats.com/fighter-details/2b6fc1c02736833d
Mario Bautista,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
Alexander Volkov,http://ufcstats.com/fighter-details/279566840aa55bf2
Jailton Almeida,http://ufcstats.com/fighter-details/41e83a89929d1327
Aleksandar Rakic,http://ufcstats.com/fighter-details/333b9e5c723ac873
Azamat Murzakanov,http://ufcstats.com/fighter-details/e90a2f22417af68e
Nasrat Haqparast,http://ufcstats.com/fighter-details/b7b84ccd221be298
Quillan Salkilld,http://ufcstats.com/fighter-details/17734443a833cdf7
Ikram Aliskerov,http://ufcstats.com/fighter-details/b07aed698fba8624
JunYong Park,http://ufcstats.com/fighter-details/285ae0b4a68221f4
Ludovit Klein,http://ufcstats.com/fighter-details/5b86d491d63890c5
Mateusz Rebecki,http://ufcstats.com/fighter-details/849c5d9979df5357
Valter Walker,http://ufcstats.com/fighter-details/f5779a2303ed76ec
Louie Sutherland,http://ufcstats.com/fighter-details/cdb7b38b1b357f26
Nathaniel Wood,http://ufcstats.com/fighter-details/329e403448756217
Jose Delgado,http://ufcstats.com/fighter-details/7d6ceff6747f2de2
Hamdy Abdelwahab,http://ufcstats.com/fighter-details/3329d692aea4dc28
Chris Barnett,http://ufcstats.com/fighter-details/7a5e8c94a86f9895
Azat Maksum,http://ufcstats.com/fighter-details/7f1bf0c255ec8756
Mitch Raposo,http://ufcstats.com/fighter-details/0be6776db31d98ec
Jaqueline Amorim,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Mizuki,http://ufcstats.com/fighter-details/43a59ce3bb40449e
Reinier de Ridder,http://ufcstats.com/fighter-details/d549cefc7c54ab78
Brendan Allen,http://ufcstats.com/fighter-details/2f181c0467965b98
Kevin Holland,http://ufcstats.com/fighter-details/3a46b268013afede
Mike Malott,http://ufcstats.com/fighter-details/dd6103dd7127db1d
Marlon Vera,http://ufcstats.com/fighter-details/7c7332319c14094c
Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f
Manon Fiorot,http://ufcstats.com/fighter-details/34ff304266360297
Jasmine Jasudavicius,http://ufcstats.com/fighter-details/a9e260472d321361
Charles Jourdain,http://ufcstats.com/fighter-details/f1d64ae34e088832
Davey Grant,http://ufcstats.com/fighter-details/113df4fde64735c6
Kyle Nelson,http://ufcstats.com/fighter-details/31f8081c7600da93
Matt Frevola,http://ufcstats.com/fighter-details/dccb63727f2f5f74
Kyle Prepolec,http://ufcstats.com/fighter-details/873626e5547b5235
Drew Dober,http://ufcstats.com/fighter-details/519e4fe37ce9ff75
Cody Gibson,http://ufcstats.com/fighter-details/700a674c042b7a96
Aoriqileng,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Bruno Silva,http://ufcstats.com/fighter-details/294aa73dbf37d281
HyunSung Park,http://ufcstats.com/fighter-details/b671bdf981ad527d
Danny Barlow,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63
Djorden Santos,http://ufcstats.com/fighter-details/312f7d7b2b2f7de4
Stephanie Luciano,http://ufcstats.com/fighter-details/1b35af4d1529adf6
Ravena Oliveira,http://ufcstats.com/fighter-details/4948e412fa6ab67d
Azamat Bekoev,http://ufcstats.com/fighter-details/3bc3f60b21cddc6a
Yousri Belgaroui,http://ufcstats.com/fighter-details/7674b836ce0698a0
Melissa Croden,http://ufcstats.com/fighter-details/51e2f44a8dbf6984
Tainara Lisboa,http://ufcstats.com/fighter-details/2c5f5749569eef66
Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6
Mateusz Gamrot,http://ufcstats.com/fighter-details/72db2a14ffa73ece
Deiveson Figueiredo,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
Montel Jackson,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d
Vicente Luque,http://ufcstats.com/fighter-details/6d4b63c767106d3a
Joel Alvarez,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Jhonata Diniz,http://ufcstats.com/fighter-details/25f9a5f3e8a52618
Mario Pinto,http://ufcstats.com/fighter-details/39d309957c5c210d
Ricardo Ramos,http://ufcstats.com/fighter-details/1ae8f3c723aacff4
Kaan Ofli,http://ufcstats.com/fighter-details/7facc9c45d792985
Lucas Almeida,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Michael Aswell Jr.,http://ufcstats.com/fighter-details/01c9e4013afce141
Jafel Filho,http://ufcstats.com/fighter-details/65adf3856c4d9256
Clayton Carpenter,http://ufcstats.com/fighter-details/b62d5280966b2460
Vitor Petrino,http://ufcstats.com/fighter-details/71171fc96445bf65
Thomas Petersen,http://ufcstats.com/fighter-details/764d39074a352e33
Bia Mesquita,http://ufcstats.com/fighter-details/eff9074bc066f0f2
Irina Alekseeva,http://ufcstats.com/fighter-details/103e2e33a60683e1
Lucas Rocha,http://ufcstats.com/fighter-details/e0d3d9b564f95635
Stewart Nicoll,http://ufcstats.com/fighter-details/2bd98ab77a8daa75
Julia Polastri,http://ufcstats.com/fighter-details/abb68e3c7ca128f2
Karolina Kowalkiewicz,http://ufcstats.com/fighter-details/d7c3816669784109
Luan Lacerda,http://ufcstats.com/fighter-details/6fc506e1099afe20
Saimon Oliveira,http://ufcstats.com/fighter-details/72ea1984c52019b5
